The products table. 


TABLE NAME		COLUMN NAME								DATA TYPE	TYPE NAME	PRECISION	LENGTH		SCALE	RADIX	NULLABLE	REMARKS	COLUMN DEF	SQL DATA TYPE	SQL DATETIME SUB	CHAR OCTET LENGTH	ORDINAL POSITION	IS NULLABLE	SS DATA TYPE
EcomProducts 	ProductPriceMatrixMultiplePrices 		4 			int 		10 			4 			0 		10 		1 			NULL	((0)) 		4 				NULL				NULL				39 					YES 		38 	 
EcomProducts 	ProductPriceMatrixQuantitySpecification -9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				40 					YES 		39 	 
  Page 2 of 4


  
TABLE NAME		COLUMN NAME								DATA TYPE	TYPE NAME	PRECISION	LENGTH		SCALE	RADIX	NULLABLE	REMARKS	COLUMN DEF	SQL DATA TYPE	SQL DATETIME SUB	CHAR OCTET LENGTH	ORDINAL POSITION	IS NULLABLE	SS DATA TYPE
	
 
EcomProducts 	producent 								-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				41 					YES 		39 	 
EcomProducts 	ProductMetaTitle 						-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				42 					YES 		39 	 
EcomProducts 	ProductMetaKeywords 					-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646 			43 					YES 		39 	 
EcomProducts 	ProductMetaDescription 					-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646 			44 					YES 		39 	 
EcomProducts 	ProductMetaUrl 							-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646 			45 					YES 		39 	 
EcomProducts 	nyhed 									-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				46 					YES 		39 	 
EcomProducts 	ProductOptimizedFor 					-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				47 					YES 		39 	 
EcomProducts 	ProductCategoryFieldValues 				-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646 			48 					YES 		39 	 
EcomProducts 	ProductCommentcount 					4 			int 		10 			4 			0 		10 		1 			NULL	NULL		4 				NULL				NULL				49 					YES 		38 	 
EcomProducts 	ProductRating 							6 			float 		15 			8 			NULL	10 		1 			NULL	NULL		6 				NULL				NULL				50 					YES 		109 	 
EcomProducts 	markup 									6 			float 		15 			8 			NULL	10 		1 			NULL	((0.0)) 	6 				NULL				NULL				51 					YES 		109 	 
EcomProducts 	stockstart 								-9 			nvarchar 	50 			100 		NULL	NULL	1 			NULL	NULL		-9 				NULL				100 				52 					YES 		39 	 
EcomProducts 	dato 									11 			datetime 	23 			16 			3 		NULL	1 			NULL	NULL		9 				3 					NULL				53 					YES 		111 	 
EcomProducts 	teaser 									-9 			nvarchar 	255 		510		 	NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				54 					YES 		39 	 
EcomProducts 	ProductSearchAlder 						4 			int 		10 			4 			0 		10 		1 			NULL	NULL		4 				NULL				NULL				55 					YES 		38 	 
EcomProducts 	ItemCode 								-9 			nvarchar 	255 		510 		NULL	NULL	1 			NULL	NULL		-9 				NULL				510 				56 					YES 		39 	 
EcomProducts 	TaxCode 								-9 			nvarchar 	512 		1024 		NULL	NULL	1 			NULL	NULL		-9 				NULL				1024 				57 					YES 		39 	 
EcomProducts 	ProductSearchSkoStr 					4 			int 		10 			4 			0 		10 		1 			NULL	NULL		4 				NULL				NULL				58 					YES 		38 	 
EcomProducts 	ProductSearchAlderMax 					4 			int 		10 			4 			0 		10 		1 			NULL	NULL		4 				NULL				NULL				59 					YES 		38 	 
EcomProducts 	ProductSearchSkoStrMax 					4 			int 		10 			4 			0 		10 		1 			NULL	NULL		4 				NULL				NULL				60 					YES 		38 	 
  Page 3 of 4

  
  
 TABLE NAME		COLUMN NAME								DATA TYPE	TYPE NAME	PRECISION	LENGTH		SCALE	RADIX	NULLABLE	REMARKS	COLUMN DEF	SQL DATA TYPE	SQL DATETIME SUB	CHAR OCTET LENGTH	ORDINAL POSITION	IS NULLABLE	SS DATA TYPE
	
 
EcomProducts 	MarkupData				 				-10 		ntext 		1073741823 	2147483646 	NULL	NULL	1 			NULL	NULL		-10 			NULL				2147483646 			61 					YES 		39 	 
  Page 4 of 4
